avançar;67;18;0;7
usado;10;42;11;27
terrorista;9;1;65;10
pne;82;0;0;1
invadir;7;16;18;39
droga;7;16;14;50
autor;59;8;3;15
vencer;6;44;7;34
profissional;71;5;1;11
prestar;9;14;12;52
perfeito;23;26;4;40
especial;35;40;5;12
vista;53;9;4;25
realizar;55;15;6;11
praticamente;21;9;15;46
mensagem;4;44;13;31
envolver;12;22;29;22
termo;41;16;8;24
relacionamento;2;62;5;19
principal;30;17;12;31
pr;38;9;12;29
plenário;64;4;6;18
frase;6;30;11;46
formar;17;19;3;50
estudo;42;8;1;38
completo;13;19;9;47
agir;9;56;8;23
tranquilo;8;15;8;61
informação;43;7;6;32
guarda;22;35;1;16
casamento;1;43;1;21
senão;19;7;17;49
instituição;43;7;13;25
incluir;54;10;6;17
atingir;34;11;5;35
visitar;13;33;13;21
seguro;23;19;5;38
hospital;11;15;6;42
ditadura;5;0;35;37
depender;26;26;2;32
assumir;14;26;20;29
assinar;25;1;29;29
repúdio;74;0;2;4
procurar;15;40;6;21
predeterminado;50;3;2;30
interesse;25;25;8;20
influenciar;5;27;1;52
imposto;21;3;28;23
fugir;11;34;6;32
feminista;0;0;1;65
estrutura;31;15;3;35
entendimento;30;51;4;5
argumento;22;6;7;48
acusar;4;2;54;28
série;41;3;9;27
super;6;4;4;66
significar;24;34;9;20
registrar;68;4;3;11
oposição;37;3;12;31
loucura;1;18;2;61
cá;8;19;8;51
crise;5;35;2;28
banco;18;1;36;20
negro;9;4;13;34
mec;79;0;0;3
mau;2;49;9;25
mata;22;4;8;39
jair;5;3;51;29
economia;5;3;3;65
correto;27;11;10;34
contexto;15;45;1;16
capacidade;14;31;2;36
lançar;15;27;4;37
it;3;0;0;2
homossexual;1;1;21;15
globo;17;1;12;50
cristianismo;0;12;1;66
conhecido;4;50;5;21
anterior;53;6;7;20
possuir;19;10;3;41
ouvido;7;51;10;18
justo;16;39;9;17
fundo;33;9;13;27
eleitoral;17;2;27;32
dividir;10;19;7;32
desistir;4;23;6;44
decreto;25;25;4;14
dado;74;0;2;7
comum;12;13;27;32
tristeza;1;50;0;18
perseguição;8;25;19;31
matéria;43;2;8;28
leitura;55;10;1;13
juventude;13;13;7;44
gênero;14;2;3;29
flávio;7;1;64;6
efeito;25;16;4;35
discordar;7;4;14;37
concluir;61;8;2;9
conceder;56;14;3;9
cidadão;20;4;29;24
brincar;7;14;5;53
aleluia;1;62;1;0
subir;8;25;13;32
sangue;2;53;3;24
pensamento;20;13;2;42
merecer;18;14;12;25
investigar;11;1;61;6
gravar;5;15;7;49
salário;24;2;10;38
regra;18;3;7;42
foco;24;23;8;22
encaminhar;49;12;9;9
documento;44;1;12;17
diabo;0;51;2;23
confiar;2;51;4;19
comentar;5;16;9;52
branco;12;2;2;40
bandido;6;1;64;14
alfabetização;74;0;1;1
ô;9;29;11;31
total;15;10;1;45
soltar;7;5;46;20
show;4;9;5;60
produzir;13;13;1;43
pressão;6;13;14;48
prazer;3;47;1;30
negar;15;16;9;32
ncolas;18;37;4;22
ministrar;4;64;2;15
menor;21;10;12;31
membro;55;8;4;8
definir;43;9;4;16
assunto;47;5;8;24
uso;45;4;7;24
testemunho;1;67;4;9
possibilidade;51;3;6;17
honra;3;65;3;9
encontro;14;41;8;15
educacional;74;2;1;5
conselho;28;10;8;30
bastar;8;12;7;47
acordar;3;25;4;39
triste;3;26;4;42
querido;13;55;2;5
profético;0;69;0;0
profeta;0;71;0;1
novamente;17;19;14;31
listar;29;3;13;27
linha;16;9;14;37
lgbt;12;1;7;31
guardar;3;63;1;7
função;25;17;3;29
dilma;9;1;48;18
constituição;35;1;17;25
bonito;3;12;3;55
aumento;41;2;17;12
israel;2;46;6;9
